animal_id,lrid,tag,rfid,nlis,draft,sex,dob,sire,dam,weaned,tag_sorter,esi,overall_adg,current_adg,last_weight,last_weight_date,animal_group,modified
2404,0,OR0352,9.64001E+14,36US01201412061B,,Wether,00:00.0,10LYNX,12061,0,OR                           352,,0.18,0.38,121,53:46.2,,47:20.9
2405,0,OR0296,9.64001E+14,36US01201412062A,,Wether,00:00.0,,12062,0,OR                           296,,0.2,-0.05,129,46:06.0,,47:18.3
2406,0,14059,9.64001E+14,36US01201412062B,,Female,00:00.0,,12062,0,14059,,0.08,0,126,29:03.3,,15:35.3
2407,0,14065,9.64001E+14,36US01201412064A,,Female,00:00.0,,12064,0,14065,,0.1,0.21,125,27:49.5,,15:35.8
2408,0,OR0364,9.64001E+14,36US01201412064B,,Wether,00:00.0,,12064,0,OR                           364,,0.15,-0.06,95,16:47.8,,47:21.6
2409,0,14024,9.64001E+14,36US01201412065A,,Female,00:00.0,,12065,0,14024,,0.03,-0.02,125,18:12.3,14th BRD GRP,19:20.1
2410,0,14047,9.64001E+14,36US01201412065B,,Female,00:00.0,,12065,0,14047,,0.09,0.17,151,45:59.2,,48:24.3
2411,0,12066AD,9.64001E+14,,,Female,00:00.0,,12066,0,                           12066AD,,,,,,,25:43.2
2412,0,OR0362,9.64001E+14,36US01201412066B,,Wether,00:00.0,,12066,0,OR                           362,,0.16,0.11,108,13:17.8,,47:21.4
2414,0,14004,9.64001E+14,36US01201412068A,,Female,00:00.0,10LYNX,12068,0,14004,,0.07,0.54,98.5,15:13.1,,09:20.9
2415,0,OR0329,9.64001E+14,36US01201412068B,,Wether,00:00.0,10LYNX,12068,0,OR                           329,,0.18,0.1,121,40:37.7,,47:19.8
2417,0,OR0295,9.64001E+14,36US01201412069B,,Wether,00:00.0,,12069,0,OR                           295,,0.14,0,117,47:10.7,,47:18.3
2418,0,OR0475,9.64001E+14,,,Wether,00:00.0,,12070,0,OR                           475,,0.12,0,77.5,01:08.1,,47:27.1
2419,0,OR0300,9.64001E+14,36US01201412070A,,Wether,00:00.0,,12070,0,OR                           300,,0.15,0,114,55:33.5,,47:18.6
2420,0,14124,9.64001E+14,36US01201412071A,,Female,00:00.0,,12071,0,14124,,0.05,-0.11,143,13:56.5,,30:04.1
2421,0,OR0337,9.64001E+14,36US01201412071B,,Wether,00:00.0,,12071,0,OR                           337,,0.18,0.05,120,41:28.2,,47:20.2
2422,0,14038,9.64001E+14,36US01201412073A,,Female,00:00.0,,12073,0,14038,,0.04,-0.06,159,31:08.9,2nd BRD GRP,40:28.3
2424,0,15063,9.64001E+14,,,Female,00:00.0,,12074,0,15063,,0.12,3,110,27:30.2,,24:02.2
2425,0,OR0273,9.64001E+14,36US01201412074B,,Wether,00:00.0,10LYNX,12074,0,OR                           273,,0.16,0.5,118,46:06.3,,47:17.3
2426,0,14051,9.64001E+14,36US01201412075S,,Female,00:00.0,,12075,0,14051,,0.01,-0.12,96.5,16:19.7,15th BRD GRP,36:47.0
2427,0,14090,9.64001E+14,36US01201412076A,,Female,00:00.0,10LYNX,12076,0,14090,,0.02,0,130,57:18.9,9th BRD GRP,56:30.5
2429,0,15144,9.64001E+14,,,Female,00:00.0,,12077,0,15144,,0.06,-0.01,103,53:16.4,,46:44.0
2430,0,OR0409,9.64001E+14,,,Wether,00:00.0,,12077,0,OR                           409,,0.17,-0.17,88.5,20:58.8,,47:24.0
2431,0,14095,9.64001E+14,36US01201412078B,,Female,00:00.0,,12078,0,14095,,0.02,0.13,119,01:26.9,12th BRD GRP,40:51.7
2435,0,14019,9.64001E+14,36US01201412080A,,Female,00:00.0,,12080,0,14019,,0.05,0.29,130,03:21.1,,32:31.3
2438,0,14048,9.64001E+14,36US01201412081A,,Female,00:00.0,,12081,0,14048,,0.03,0.14,120,07:44.3,9th BRD GRP,16:25.1
2439,0,OR0252,9.64001E+14,36US01201412081C,,Wether,00:00.0,,12081,0,OR                           252,,0.15,-0.22,107,19:39.8,,47:16.4
2440,0,15029,9.64001E+14,,,Female,00:00.0,,12081,0,15029,,0.1,0.05,60.5,00:49.6,,26:12.6
2443,0,14054,9.64001E+14,36US01201412085B,,Female,00:00.0,,12085,0,14054,,0.02,0,115,19:25.9,.,56:19.9
2444,0,OR0286,9.64001E+14,36US01201412085A,,Wether,00:00.0,,12085,0,OR                           286,,0.17,0.43,125,44:32.6,,47:17.9
2445,0,14039,9.64001E+14,36US01201412087B,,Female,00:00.0,12RNSH,12087,0,14039,,0.02,-0.02,98,37:18.4,11th BRD GRP,55:18.0
2446,0,OR0301,9.64001E+14,36US01201412087A,,Wether,00:00.0,12RNSH,12087,0,OR                           301,,0.18,3,119,47:45.8,,47:18.6
2447,0,14029,9.64001E+14,36US01201412090C,,Female,00:00.0,,12090,0,14029,,0.04,0.04,141,45:36.8,9th BRD GRP,09:42.8
2448,0,OR0382,9.64001E+14,,,Wether,00:00.0,,12090,0,OR                           382,,0.13,0.29,85,26:31.1,,47:22.6
2449,0,OR0433,9.64001E+14,,,Wether,00:00.0,,12090,0,OR                           433,,0.12,0.15,78.5,53:06.9,,47:25.4
2450,0,OR0266,9.64001E+14,36US01201412091S,,Wether,00:00.0,,12091,0,OR                           266,,0.18,0.5,146,54:30.5,,47:17.0
